contact,month,job,poutcome,clients,deposits,conversion,cost,revenue,profit,roi,profit_per_client
telephone,jul,blue-collar,nonexistent,277,11,0.039711191335740074,831,880,49,0.05896510228640193,0.17689530685920576
telephone,may,housemaid,nonexistent,235,9,0.03829787234042553,705,720,15,0.02127659574468085,0.06382978723404255
cellular,nov,services,nonexistent,237,8,0.03375527426160337,711,640,-71,-0.09985935302390998,-0.29957805907172996
telephone,may,retired,nonexistent,218,7,0.03211009174311927,654,560,-94,-0.1437308868501529,-0.43119266055045874
telephone,may,unemployed,nonexistent,187,6,0.03208556149732621,561,480,-81,-0.1443850267379679,-0.43315508021390375
telephone,jun,unemployed,nonexistent,126,4,0.031746031746031744,378,320,-58,-0.15343915343915343,-0.4603174603174603
telephone,jul,technician,nonexistent,159,5,0.031446540880503145,477,400,-77,-0.16142557651991615,-0.48427672955974843
telephone,may,blue-collar,nonexistent,2393,74,0.03092352695361471,7179,5920,-1259,-0.17537261457027442,-0.5261178437108233
telephone,may,technician,nonexistent,1108,34,0.030685920577617327,3324,2720,-604,-0.18170878459687123,-0.5451263537906137
telephone,may,admin.,nonexistent,1690,51,0.03017751479289941,5070,4080,-990,-0.1952662721893491,-0.5857988165680473
cellular,jul,housemaid,nonexistent,202,6,0.0297029702970297,606,480,-126,-0.2079207920792079,-0.6237623762376238
telephone,may,management,nonexistent,574,16,0.027874564459930314,1722,1280,-442,-0.25667828106852497,-0.7700348432055749
telephone,jun,services,nonexistent,488,13,0.02663934426229508,1464,1040,-424,-0.2896174863387978,-0.8688524590163934
telephone,jun,housemaid,nonexistent,118,3,0.025423728813559324,354,240,-114,-0.3220338983050847,-0.9661016949152542
telephone,may,self-employed,nonexistent,258,3,0.011627906976744186,774,240,-534,-0.689922480620155,-2.0697674418604652
